,Cities,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,dingle,48.247690464401444,-14.052342072779965,82.33,77,100,3.4,PH,1601428240
1,busselton,-61.2634765810388,87.635957465471,64,80,99,10.42,AU,1601428240
2,skala fourkas,39.70183957706692,23.407450091148974,62.01,59,0,8.99,GR,1601428241
3,bonavista,51.274296064094756,-44.646373186375,60.44,92,46,17.76,CA,1601428241
4,albany,-57.07086788687544,104.71736840886416,61,84,100,3.44,US,1601428241
5,taolanaro,-41.17363518169345,56.817312883150834,,,,,,
6,clyde river,69.9563804288594,-70.69201644517179,28.4,79,90,11.41,CA,1601428242
7,tautira,-17.085561774821542,-141.87116465312715,87.8,55,40,6.93,PF,1601428242
8,carnarvon,-25.945395480541237,109.64078005168079,66.2,59,0,16.11,AU,1601428242
9,mehamn,79.07257828213795,27.074956978221024,49.01,84,31,10.36,NO,1601428243
10,makung,23.23028284980549,118.50061202843756,,,,,,
11,victoria,-6.143577097774468,50.141485209201335,84.99,84,34,12.03,HK,1601428170
12,port alfred,-83.82157508137902,46.71724190544941,54.43,77,39,7.47,ZA,1601428244
13,isla aguada,19.52272200656651,-91.78883629013635,84.2,79,40,5.82,MX,1601428244
14,maningrida,-10.301470317638646,133.67676530719,86.16,58,78,12.55,AU,1601428244
15,vaini,-44.07091239409386,-178.85048457140107,80.6,83,90,14.99,TO,1601428244
16,lianran,24.576076255232437,101.56279327743005,70,100,90,6.71,CN,1601428245
17,berlevag,78.4257826816966,29.639739045900598,50.45,80,28,10.45,NO,1601428245
18,maceio,-18.89496381295008,-24.962449720981226,71.6,88,5,3.36,BR,1601428245
19,areosa,41.62091665758561,-9.124040412516308,64,93,0,9.86,PT,1601428245
20,port alfred,-85.69574957167626,45.31001021491923,54.43,77,39,7.47,ZA,1601428244
21,warrington,27.377992105472075,-87.18127486646219,50,93,61,11.41,GB,1601428246
22,daye,30.188665452178967,115.0261204940233,72.57,81,10,1.57,CN,1601428246
23,kaitangata,-69.13937016055866,178.28220002861207,42.78,89,100,11.01,NZ,1601428246
24,cape town,-68.74640435422776,-11.351492359448997,55,76,31,10.29,ZA,1601428196
25,emba,48.88602186206771,58.1702952572476,51.78,44,0,8.21,KZ,1601428247
26,madras,12.283289326936696,82.7579580714771,77,88,90,9.17,IN,1601428107
27,yellowknife,88.10088001787165,-98.62640208240381,42.8,87,75,12.75,CA,1601428247
28,iquique,-20.37410097689029,-72.12679933533086,60.8,72,40,11.41,CL,1601428247
29,ugoofaaru,5.874924157626239,72.41775618254462,81.81,73,100,9.33,MV,1601428248
30,tiksi,87.46506513108983,127.50534768112033,33.76,97,100,14.03,RU,1601428248
31,yellowknife,64.90499885345432,-117.53873314106205,42.8,87,75,12.75,CA,1601428247
32,mata,20.362432935679635,111.94591859441601,57,87,100,1.01,PT,1601428248
33,rikitea,-57.12913869599693,-123.23198775400795,69.89,78,70,21.85,PF,1601428248
34,makakilo city,5.47748502787276,-166.32816808845007,89.6,62,1,10.29,US,1601428249
35,arcata,40.686391719550784,-123.8679701884873,63,93,90,3.36,US,1601428249
36,barrow,89.54751124128069,-156.83276451584706,33.8,80,90,11.41,US,1601428249
37,salur,18.401065295701827,83.05380372110403,76.15,89,100,3.04,IN,1601428197
38,mataura,-81.92318562612745,-155.42910940975852,42.91,95,100,7.2,NZ,1601428249
39,jamestown,-21.161074320772343,-12.500153273566582,55.99,81,90,6.93,US,1601428250
40,aklavik,68.22718613596376,-137.39678676043982,41,80,75,6.93,CA,1601428250
41,albany,-44.72177646176893,111.75269449123078,61,84,100,3.44,US,1601428241
42,kodiak,43.90517535127884,-147.63694091197226,48.2,87,90,28.86,US,1601428250
43,mataura,-79.60772912146668,-152.04319338732742,42.91,95,100,7.2,NZ,1601428249
44,namibe,-13.572322521716004,4.541894009045876,62.91,84,84,6.64,AO,1601428251
45,tasiilaq,63.11482207702639,-38.21082554379001,32,92,100,4.7,GL,1601428251
46,xining,35.16004385672224,101.28734143594045,53.1,69,100,3.53,CN,1601428251
47,punta arenas,-81.44987257914715,-102.24685091952506,33.8,86,40,26.4,CL,1601428251
48,chagda,57.45512879700695,130.39771345042698,,,,,,
49,arraial do cabo,-27.157765102124586,-39.29019947477033,75.2,88,75,5.82,BR,1601428253
50,ponta do sol,22.479540204808842,-42.317159367537926,69.8,68,75,6.93,PT,1601428253
51,saldanha,-37.85477713436247,7.859651932813108,48.2,81,39,4.7,ZA,1601428253
52,taiyuan,37.90046021920118,112.10314114652402,57.2,76,73,2.24,CN,1601428147
53,vaini,-44.30903610307968,-169.50662122269753,80.6,83,90,14.99,TO,1601428244
54,belushya guba,81.86958884433605,58.97393608377084,,,,,,
55,kapaa,28.947224348562912,-160.81198003878967,84.99,66,1,10.29,US,1601428254
56,barawe,-3.5169538642255986,48.33535386931527,,,,,,
57,russell,-30.3563542440232,178.76385168757378,62.6,93,40,3.42,US,1601428255
58,tilichiki,61.023599205099146,168.79662232399346,41.29,84,100,9.73,RU,1601428256
59,lunenburg,43.77091783554499,-63.868563690427806,66.99,98,72,10.49,CA,1601428256
60,hermanus,-73.68953850450956,5.7487607367641544,45,93,29,3.67,ZA,1601428256
61,miandrivazo,-19.742771513661495,44.83921289106732,74.41,59,0,1.79,MG,1601428256
62,saleaula,-6.498497015459549,-169.15536450328761,,,,,,
63,mataura,-86.98718471126489,-148.75365832548135,42.91,95,100,7.2,NZ,1601428249
64,dikson,75.38620880305194,85.49383465865583,36.09,82,100,16.15,RU,1601428258
65,ostrovnoy,72.44552117565189,43.954262075371815,46.08,79,0,18.37,RU,1601428258
66,mataura,-84.37449141541691,-149.59947371690842,42.91,95,100,7.2,NZ,1601428249
67,ancud,-39.93879084812166,-98.54557822033703,37.99,93,100,5.82,CL,1601428258
68,lompoc,26.74359087956347,-130.08822297883853,62.6,82,1,14.99,US,1601428258
69,mataura,-49.997232069589245,-159.80648709796284,42.91,95,100,7.2,NZ,1601428249
70,forio,40.174915974052,13.022223519699082,62.6,82,0,2.24,IT,1601428259
71,albany,-82.54519948525663,98.49984184636833,61,84,100,3.44,US,1601428241
72,walvis bay,-24.718904729039266,14.587522078008618,51.01,93,0,9.17,NA,1601428259
73,nome,66.61931830361684,-167.01347919174057,43,60,75,8.05,US,1601428260
74,jinchang,40.197627890808235,102.0953037074346,54.63,59,15,27.98,CN,1601428133
75,avarua,-56.54246684232069,-166.40397898932255,78.8,78,38,25.28,CK,1601428260
76,busselton,-72.66273044429889,82.51307978710281,64,80,99,10.42,AU,1601428240
77,vanimo,5.029410528185963,142.88856800147784,85.62,66,15,5.41,PG,1601428260
78,codrington,20.388179168409835,-56.42272877408405,57,89,100,14.27,AU,1601428261
79,jacareacanga,-5.895893098307241,-56.1068191477397,80.31,59,39,0.54,BR,1601428261
80,saleaula,3.064471282370235,-170.58983191537672,,,,,,
81,paita,-8.704476719147905,-87.23155167428206,61.61,85,0,12.24,PE,1601428261
82,punta arenas,-78.40752041061764,-95.40942094117239,33.8,86,40,26.4,CL,1601428251
83,albany,-66.97131170787253,110.33415712791117,61,84,100,3.44,US,1601428241
84,van wert,40.81607879688383,-84.72183260603559,55.99,76,1,7.18,US,1601428262
85,geraldton,-33.62587552406351,94.70675422618143,66.2,59,0,12.75,AU,1601428100
86,puerto ayora,-13.64002018684127,-105.33403413421887,68,91,65,10,EC,1601428262
87,jamestown,-19.009379235425357,-13.262383259631747,55.99,81,90,6.93,US,1601428250
88,east london,-68.1555229425283,48.32883225153395,57.45,68,17,2.59,ZA,1601428263
89,pierre,45.132909631938844,-100.73618589160994,77,25,1,10.29,US,1601428263
90,kruisfontein,-78.08209993535195,28.37183106803252,45.82,85,0,5.41,ZA,1601428263
91,mar del plata,-49.56261944259557,-42.41797384171886,63,63,94,8.05,AR,1601428264
92,saint-louis,-23.0581244839411,53.869708842593695,86,70,0,2.24,SN,1601428264
93,honiara,-14.503841993054053,156.2785340401092,89.6,59,20,13.87,SB,1601428264
94,lebu,-29.256211746738096,-102.3831169162862,48.61,87,92,13.87,CL,1601428264
95,lasa,29.02323009845759,90.40408041661664,45,94,65,4.79,IT,1601428265
96,severo-kurilsk,35.934229789720476,166.65516986288236,55.15,66,100,9.73,RU,1601428265
97,ushuaia,-67.88646176507999,-39.25902847778465,33.8,80,40,13.87,AR,1601428002
98,ushuaia,-81.27977643864625,-31.75711391749192,33.8,80,40,13.87,AR,1601428002
99,georgetown,-19.98518854495488,-22.54325542764485,82.4,94,20,3.36,MY,1601428265
100,bluff,-62.69129677040868,161.79381635858897,48.42,81,84,17.49,NZ,1601428003
101,narsaq,75.08562809888011,-66.53260024765187,30.2,50,0,4.7,GL,1601428266
102,upernavik,78.26276200249328,-60.65901395709858,24.13,90,83,8.79,GL,1601428266
103,sayyan,16.161697280843228,46.94999413277435,57.67,40,7,1.66,YE,1601428266
104,hilo,4.6982797059107355,-155.52974362773168,84.2,70,1,11.41,US,1601428266
105,arak,33.84014056442801,49.433751480737186,43.92,71,0,2.62,IR,1601428267
106,ushuaia,-79.2226458805097,-24.056061330526234,33.8,80,40,13.87,AR,1601428002
107,great yarmouth,54.05551578396711,2.970219142781957,52,98,100,3,GB,1601428267
108,butaritari,4.601780276368061,163.64284596299342,82.18,75,4,14.34,KI,1601428267
109,mataura,-85.53141267120519,-149.96524491848118,42.91,95,100,7.2,NZ,1601428249
110,mataura,-76.30955527620246,-145.51783824239453,42.91,95,100,7.2,NZ,1601428249
111,honningsvag,78.77074711229423,26.032052632015223,51.26,83,9,9.31,NO,1601428268
112,kilis,36.864000676090285,37.05012064067492,77,36,0,5.82,TR,1601428268
113,new norfolk,-50.187926135371704,143.083932965987,63,69,90,1.01,AU,1601428268
114,muroto,30.076088737323175,134.32895538420485,69.8,88,75,4.7,JP,1601428269
115,hilo,11.502915923352461,-145.14137104898788,84.2,70,1,11.41,US,1601428266
116,grindavik,61.63162895271836,-21.757182173622596,35.6,93,40,3.36,IS,1601428269
117,bambous virieux,-37.584689363071526,81.42379964234425,70,94,40,6.93,MU,1601428269
118,tuatapere,-51.62983952038112,161.18926063909362,47.19,80,100,9.35,NZ,1601428269
119,manyana,-23.55019355306051,20.562740675544347,53.28,28,0,8.57,BW,1601428270
120,coihaique,-46.98597932504335,-77.87878658153178,39.2,51,20,5.82,CL,1601428270
121,sinnamary,13.220459321888185,-47.5493622022521,79,86,36,6.98,GF,1601428270
122,kapaa,38.32528507814948,-178.28141092048872,84.99,66,1,10.29,US,1601428254
123,visby,58.28174639064051,19.896390648637805,39.2,100,0,2.24,SE,1601428271
124,fortuna,37.26808430177957,-132.8637494731271,63,82,1,8.05,US,1601428271
125,batagay-alyta,69.09697992518531,132.01229528210564,33.22,77,100,11.83,RU,1601428271
126,busselton,-34.97728236598298,115.29712364850042,64,80,99,10.42,AU,1601428240
127,lorengau,7.645547451443704,146.1547980347645,85.86,68,100,9.75,PG,1601428271
128,arraial do cabo,-44.78727980947683,-26.43997696778527,75.2,88,75,5.82,BR,1601428253
129,lavrentiya,65.61220166117957,-170.22487230401097,37.9,76,0,0.96,RU,1601428272
130,bambous virieux,-37.070644888619334,82.75597622061201,70,94,40,6.93,MU,1601428269
131,vaini,-79.64305413789562,-168.21058461505294,80.6,83,90,14.99,TO,1601428244
132,east london,-46.3531802573237,40.26375534869135,57.45,68,17,2.59,ZA,1601428263
133,magistralnyy,56.349649961235116,107.26486634510627,39.27,93,100,2.93,RU,1601428273
134,arona,25.347327056735566,-17.49322789394401,73.4,64,20,10.29,ES,1601428273
135,port elizabeth,-63.43001373519849,29.507221339149538,48.2,93,0,4.7,ZA,1601428273
136,pussi,59.41189546422572,27.01643736335177,54.23,94,100,4.68,EE,1601428273
137,ixtapa,4.814468193545579,-108.09724810149109,87.8,70,40,8.05,MX,1601428273
138,cabo san lucas,13.972453552217928,-120.08164650164149,88,58,5,6.93,MX,1601428269
139,puerto ayora,-9.150109671581689,-110.8065407550117,68,91,65,10,EC,1601428262
140,kresttsy,58.29161218524874,32.79970516163763,47.89,94,0,4.34,RU,1601428274
141,chokurdakh,87.66133057307104,154.11973975077768,43.34,75,100,7.43,RU,1601428274
142,tournon-sur-rhone,45.17714716223213,4.836162687946114,52,90,0,2.8,FR,1601428275
143,nalut,29.311191014947653,8.63596617750295,72.25,56,0,9.17,LY,1601428275
144,husavik,80.87627216391374,-6.073794634159981,33.8,81,90,2.24,IS,1601428275
145,rikitea,-62.66269070222337,-129.58824235929512,69.89,78,70,21.85,PF,1601428248
146,busselton,-76.28377571435635,84.59748679041013,64,80,99,10.42,AU,1601428240
147,ornskoldsvik,65.06866066968041,18.024114649697538,48.2,100,90,2.24,SE,1601428276
148,illoqqortoormiut,78.9022243314316,-12.9413837831342,,,,,,
149,ribeira grande,40.5020509629675,-36.19632859509949,66.47,69,1,10.29,PT,1601428277
150,hilo,31.51735297668796,-145.12057779029655,84.2,70,1,11.41,US,1601428266
151,namatanai,3.807565693042875,158.60544512830717,85.21,69,100,3.15,PG,1601428277
152,nome,62.59135376897191,-168.35622082745778,43,60,75,8.05,US,1601428260
153,nizhneyansk,73.42250121428515,136.42261284579746,,,,,,
154,vaini,-72.9433112424999,-173.8068529664378,80.6,83,90,14.99,TO,1601428244
155,fairbanks,66.81422277203299,-146.8470600461609,55.4,43,1,4.25,US,1601428279
156,yellowknife,72.00910356873271,-116.13628734332505,42.8,87,75,12.75,CA,1601428247
157,norman wells,70.76848820868088,-121.60788632310542,44.6,65,75,9.17,CA,1601428280
158,new norfolk,-50.7500117320651,143.39250559353889,63,69,90,1.01,AU,1601428268
159,san nicolas,14.84426593792972,119.38612790162466,78.8,88,75,4.7,PH,1601428280
160,amalapuram,15.42735166999617,82.73371187559468,78.8,88,90,5.82,IN,1601428194
161,atuona,-5.610559374814031,-125.36497019490456,78.4,75,0,17.94,PF,1601428280
162,taolanaro,-85.47175633896275,68.31180972764918,,,,,,
163,alice springs,-24.7951332416212,135.54065744526235,75,40,0,13.87,AU,1601428003
164,hermanus,-76.87725995904181,-1.4922312761758008,45,93,29,3.67,ZA,1601428256
165,tuktoyaktuk,82.10268436070541,-120.89799769431662,37.4,93,90,2.24,CA,1601428281
166,vanimo,3.954559133625139,141.38607675047223,85.62,66,15,5.41,PG,1601428260
167,bluff,-79.36083401144087,157.84895362551185,48.42,81,84,17.49,NZ,1601428003
168,rikitea,-15.69611981208736,-128.89281825992916,69.89,78,70,21.85,PF,1601428248
169,hobart,-75.4292453777876,136.55287485990868,63,62,75,11.41,AU,1601428065
170,middletown,41.51529978482648,-74.50991022023474,53.01,100,90,7.23,US,1601428282
171,yasnyy,51.02231323910928,60.33649926309954,48.13,74,0,8.61,RU,1601428282
172,faanui,-10.959983831843886,-154.20626935973075,78.44,79,2,21.43,PF,1601428283
173,arraial do cabo,-42.318390822520385,-30.570235835166983,75.2,88,75,5.82,BR,1601428253
174,tuatapere,-59.589751391708546,155.54448245756078,47.19,80,100,9.35,NZ,1601428269
175,rikitea,-40.23617671028029,-134.9503005911764,69.89,78,70,21.85,PF,1601428248
176,saint-philippe,-53.14929340081255,70.61488171081214,68,72,38,5.82,RE,1601428284
177,altay,47.64161407805679,87.38107176889827,35.47,81,95,0.74,CN,1601428284
178,mataura,-39.309570258570695,-150.1254070680038,42.91,95,100,7.2,NZ,1601428249
179,rikitea,-51.56097172610875,-113.08743737956685,69.89,78,70,21.85,PF,1601428248
180,kuching,2.6170841067455086,110.69149275020777,80.6,88,20,2.24,MY,1601428284
181,dafeng,33.4940835698043,121.21352203587304,77.94,76,24,6.06,CN,1601428285
182,rawson,-48.749861498741026,-58.52623003271607,48.2,84,100,9.24,AR,1601428285
183,barrow,83.49656560212622,-160.94672009836376,33.8,80,90,11.41,US,1601428249
184,ushuaia,-89.34210539826141,-57.552218796906644,33.8,80,40,13.87,AR,1601428002
185,alofi,-17.57872961046445,-168.72588198299528,82.4,69,75,18.34,NU,1601428233
186,hofn,64.32926125921989,-15.648040921990201,48.83,93,100,22.91,IS,1601428286
187,punta arenas,-83.54421191962973,-96.78329253087011,33.8,86,40,26.4,CL,1601428251
188,fortuna,38.52095662538861,-127.29593321654232,63,82,1,8.05,US,1601428271
189,ushuaia,-63.21085865560485,-74.84544455784358,33.8,80,40,13.87,AR,1601428002
190,port lincoln,-50.44783126180091,129.33329529437123,62.13,70,100,21.03,AU,1601428003
191,hobart,-76.10884706105723,139.17088159340608,63,62,75,11.41,AU,1601428065
192,vaini,-28.665103701549647,-177.46337947918755,80.6,83,90,14.99,TO,1601428244
193,oriximina,0.32394562023168305,-55.29759847248452,87.62,44,0,7.4,BR,1601428287
194,bend,43.53986638371276,-121.64047018664945,86,15,1,8.05,US,1601428287
195,chokurdakh,70.81675494069162,145.53283076061155,43.34,75,100,7.43,RU,1601428274
196,hilo,7.812513871475204,-156.89440972236534,84.2,70,1,11.41,US,1601428266
197,tiksi,83.82915216724157,124.78467657089561,33.76,97,100,14.03,RU,1601428248
198,chuy,-53.42114782841738,-30.992348692533113,52.12,85,3,7.47,UY,1601428288
199,esperance,-29.524626117680995,120.94257611500427,59,100,0,11.41,AU,1601428289
200,rio rancho,35.5642638387212,-107.17347034927168,73.99,8,1,4.7,US,1601428289
201,oga,40.89196539573615,137.18505564081892,45,100,75,2.24,IT,1601428289
202,avarua,-48.321160071290315,-161.44758319379463,78.8,78,38,25.28,CK,1601428260
203,svetlogorsk,66.80679287385863,91.0517948225484,57.34,65,100,10.89,BY,1601428289
204,carira,-10.151969592338958,-37.96312081778183,65.73,91,0,7.16,BR,1601428290
205,illoqqortoormiut,81.41905841282932,-9.414350848944537,,,,,,
206,agirish,62.62288626295583,63.13040293775475,44.19,94,80,6.33,RU,1601428290
207,aykhal,67.96234396466625,107.6432122524293,23,92,90,6.71,RU,1601428290
208,saskylakh,89.40040046939552,114.95174111385177,27.91,95,17,5.73,RU,1601428291
209,saleaula,3.1289189941101228,-170.3913776558979,,,,,,
210,caravelas,-18.464448560410275,-34.21547257912849,74.08,85,0,7,BR,1601428291
211,busselton,-72.40569415596441,94.27766276688163,64,80,99,10.42,AU,1601428240
212,castro,-58.304482585168714,-111.60014010785378,64.38,93,1,4.29,BR,1601428291
213,whitecourt,54.24907242507703,-115.20332971422788,57.2,26,20,14.99,CA,1601428292
214,georgetown,-0.1880474675348296,-18.740028707484868,82.4,94,20,3.36,MY,1601428265
215,chipinge,-21.335345139769586,33.77850824399516,62.24,98,89,3.36,ZW,1601428292
216,chake chake,-5.610287715845146,41.83029936924001,75.16,82,87,4.88,TZ,1601428292
217,amuntai,-0.5140260768681912,114.18399009903919,84.25,67,57,0.94,ID,1601428293
218,vostok,47.5535771725215,147.04276938167203,51.17,68,0,3.36,RU,1601428293
219,thompson,70.38989374411636,-100.43379505971943,50,76,75,4.7,CA,1601428293
220,bosaso,12.602010070485946,48.44366724943464,83.28,63,0,2.98,SO,1601428293
221,puerto ayora,-24.6809020343796,-102.38219200818413,68,91,65,10,EC,1601428262
222,punta arenas,-73.92048585069745,-96.30132617070619,33.8,86,40,26.4,CL,1601428251
223,nikolskoye,52.11409085584509,174.62953807666213,52,93,75,2.24,RU,1601428294
224,hilo,13.540530240749021,-135.613632588953,84.2,70,1,11.41,US,1601428266
225,haines junction,62.32545767512701,-142.44816036157306,45.64,59,100,1.57,CA,1601428294
226,hermanus,-50.18071083389958,11.52641537783407,45,93,29,3.67,ZA,1601428256
227,urumqi,43.80829101292244,88.88917204218939,42.8,45,0,6.71,CN,1601428295
228,vanimo,3.2651585274123676,142.1453518655233,85.62,66,15,5.41,PG,1601428260
229,kapaa,11.21478589995732,-165.12793504390095,84.99,66,1,10.29,US,1601428254
230,samusu,-11.12277326942278,-163.8806722387858,,,,,,
231,avarua,-52.00542531707824,-161.2648929374561,78.8,78,38,25.28,CK,1601428260
232,esperance,-54.17852804356996,125.71062143885592,59,100,0,11.41,AU,1601428289
233,samur,41.65208003240002,48.51671458901285,55.27,68,81,8.23,RU,1601428297
234,punta arenas,-76.42574103909253,-120.69375602260136,33.8,86,40,26.4,CL,1601428251
235,rikitea,-62.57814172761973,-115.2896475468846,69.89,78,70,21.85,PF,1601428248
236,mar del plata,-69.60257069047312,-21.643133175731577,63,63,94,8.05,AR,1601428264
237,mataura,-79.42510058200077,-146.20462909236738,42.91,95,100,7.2,NZ,1601428249
238,irbeyskoye,55.34594546964885,95.33374846674673,31.12,95,0,2.89,RU,1601428298
239,pisco,-20.331622479193072,-84.44507635389259,62.6,82,19,17.22,PE,1601428298
240,upernavik,70.71799958339463,-61.26713493547257,24.13,90,83,8.79,GL,1601428266
241,norman wells,65.02451531099092,-129.99574202662254,44.6,65,75,9.17,CA,1601428280
242,vaini,-30.260562970003292,-174.46186539532837,80.6,83,90,14.99,TO,1601428244
243,katsuura,21.046084186301442,152.61550597397223,73.99,50,1,5.01,JP,1601428299
244,busselton,-57.36210169927087,91.85793237686983,64,80,99,10.42,AU,1601428240
245,albany,-83.88789750751782,106.54098249386857,61,84,100,3.44,US,1601428241
246,coquimbo,-28.273464082469744,-76.9541900732295,53.6,76,0,6.93,CL,1601428299
247,east london,-77.22193675532031,54.006266582871916,57.45,68,17,2.59,ZA,1601428263
